Date,Open,High,Low,Close,Volume,Market Cap
2017-01-20,0.1626710,0.1668080,0.1456250,0.1456250,6000,865500
2017-01-21,0.1457100,0.2362890,0.1445540,0.1748290,12900,729900
2017-01-22,0.1749030,0.1780880,0.1236970,0.1280670,526,1000000
2017-01-23,0.1281820,0.1569830,0.1269680,0.1546950,6900,587900
2017-01-24,0.1529590,0.6717480,0.1342640,0.1429720,33200,1500000
2017-01-25,0.1428490,0.3133120,0.1428110,0.1542170,14900,875200
2017-01-26,0.1543630,0.1792550,0.1474830,0.1619150,10000,769800
2017-01-27,0.1620510,0.2428730,0.1518540,0.1678800,24800,879300
2017-01-28,0.1678910,0.1911180,0.1678890,0.1851150,12300,812700
2017-01-29,0.1852110,0.1916360,0.1780000,0.1834090,10800,939300
2017-01-30,0.1835400,0.2114740,0.1834110,0.2017730,26000,895200
2017-01-31,0.2019000,0.2488940,0.1929040,0.2344760,39000,954800
2017-02-01,0.2346030,0.6252860,0.2343300,0.3806660,70900,1100000
2017-02-02,0.3769860,0.5100520,0.3746960,0.4245100,49000,1900000
2017-02-03,0.4243690,0.6167390,0.4232580,0.5132460,104900,2100000
2017-02-04,0.5139540,0.6188650,0.5118360,0.5684460,41500,2500000
2017-02-05,0.5687830,0.5949510,0.4651950,0.4651950,22800,3300000
2017-02-06,0.4656750,0.5318600,0.4450420,0.4470020,92400,2500000
2017-02-07,0.4478590,0.5160730,0.4228680,0.4254000,65500,2500000
2017-02-08,0.4257890,0.6205040,0.4257890,0.5737340,97400,2000000
2017-02-09,0.5746140,0.6350860,0.5297440,0.5667290,40800,3100000
2017-02-10,0.5674410,0.6529780,0.5465110,0.6342020,136200,2800000
2017-02-11,0.6343460,0.7288070,0.6217200,0.7022020,73200,3200000
2017-02-12,0.7015520,0.7246200,0.6933130,0.6967080,90300,3700000
2017-02-13,0.6964830,0.7183060,0.6156410,0.7111950,100400,3500000
2017-02-14,0.7119820,0.7447740,0.6656710,0.7303060,84900,3700000
2017-02-15,0.7315120,0.7480310,0.7214610,0.7259430,84600,3900000
2017-02-16,0.7260660,0.7626400,0.7259880,0.7384510,64200,3800000
2017-02-17,0.7375020,0.7657160,0.7119110,0.7121350,73300,4000000
2017-02-18,0.7141770,0.7706190,0.7126490,0.7234350,69600,3800000
2017-02-19,0.7236680,0.7597550,0.7188550,0.7220820,17800,3900000
2017-02-20,0.7226450,0.7444020,0.7184990,0.7440510,79100,3800000
2017-02-21,0.7435690,0.7886810,0.7420460,0.7654880,46500,3900000
2017-02-22,0.7651450,0.8003210,0.6634620,0.7510170,103000,4100000
2017-02-23,0.7509030,0.8006260,0.6976840,0.7164130,104600,4200000
2017-02-24,0.7200910,0.8337970,0.7101270,0.8007260,80800,3700000
2017-02-25,0.7985450,0.8212330,0.7649790,0.7798780,96900,4300000
2017-02-26,0.7801710,0.8148780,0.7696030,0.7993920,75600,4100000
2017-02-27,0.7984170,0.8193240,0.7981430,0.8047160,71400,4300000
2017-02-28,0.8052270,0.8315380,0.7978920,0.8039770,107800,4400000
2017-03-01,0.8040260,0.8476510,0.8039130,0.8419620,94300,4200000
2017-03-02,0.8434630,0.8675300,0.8331010,0.8498300,112200,4500000
2017-03-03,0.8496220,0.8979570,0.8496220,0.8748860,133900,4600000
2017-03-04,0.8765600,0.9014310,0.8481970,0.8610360,118800,4800000
2017-03-05,0.8604460,0.8903360,0.8543220,0.8776900,99400,4600000
2017-03-06,0.8779320,0.9483890,0.8773030,0.9296570,144500,4600000
2017-03-07,0.9299280,0.9650310,0.9025990,0.9285560,112600,5100000
2017-03-08,0.9283240,lut.29,0.8929190,0.9104820,80500,7000000
2017-03-09,0.9107590,cze.90,0.9047850,sty.57,391500,8100000
2017-03-10,sty.57,sty.96,sty.57,sty.65,231200,8700000
2017-03-11,sty.65,02.kwi,sty.65,sty.88,329300,8600000
2017-03-12,sty.88,2,sty.66,sty.73,209100,11100000
2017-03-13,sty.74,sty.99,sty.72,sty.86,207200,9600000
2017-03-14,sty.86,sty.97,sty.86,sty.89,197800,10500000
2017-03-15,sty.89,sty.98,sty.86,sty.89,296500,10800000
2017-03-16,sty.89,sty.94,sty.76,sty.84,231100,10800000
2017-03-17,sty.83,sty.90,sty.73,sty.73,239200,10800000
2017-03-18,sty.73,sty.77,sty.54,sty.60,233700,10200000
2017-03-19,sty.61,sty.79,sty.59,sty.74,200800,8800000
2017-03-20,sty.74,sty.80,sty.70,sty.79,261700,9700000
2017-03-21,sty.79,sty.95,sty.77,sty.89,248800,10000000
2017-03-22,sty.89,sty.94,sty.77,sty.83,162400,10900000
2017-03-23,sty.83,02.sie,sty.78,02.lut,244700,10000000
2017-03-24,02.lut,mar.91,02.sty,mar.32,348000,9800000
2017-03-25,lut.70,kwi.42,lut.34,03.kwi,377700,15900000
2017-03-26,03.maj,mar.15,lut.90,lut.97,165300,17700000
2017-03-27,lut.99,mar.29,lut.93,mar.25,303300,16400000
2017-03-28,mar.25,mar.40,mar.23,mar.34,340600,18400000
2017-03-29,mar.34,mar.44,mar.25,mar.40,250300,18900000
2017-03-30,mar.41,mar.43,mar.30,mar.35,313700,19800000
2017-03-31,mar.35,mar.59,mar.34,mar.49,277600,19100000
2017-04-01,mar.53,04.kwi,mar.49,04.sty,432900,19600000
2017-04-02,04.lut,kwi.23,mar.88,mar.91,150000,24400000
2017-04-03,mar.91,kwi.66,mar.91,kwi.42,414500,22200000
2017-04-04,kwi.49,kwi.85,kwi.43,kwi.76,398900,26000000
2017-04-05,kwi.77,kwi.81,kwi.66,kwi.79,355800,28100000
2017-04-06,kwi.80,maj.22,kwi.80,maj.20,499300,27400000
2017-04-07,maj.17,maj.51,05.lut,maj.45,614200,29900000
2017-04-08,maj.43,maj.80,maj.36,maj.73,458300,31500000
2017-04-09,maj.73,cze.20,maj.73,maj.92,470300,34000000
2017-04-10,maj.91,cze.16,maj.48,06.gru,595200,34100000
2017-04-11,cze.13,sie.50,cze.13,sie.41,771600,31800000
2017-04-12,sie.39,pa�.57,sie.37,pa�.55,902700,45000000
2017-04-13,pa�.62,17.63,pa�.62,lis.95,2000000,67500000
2017-04-14,12.maj,gru.69,sie.27,wrz.69,201700,79500000
2017-04-15,wrz.80,lis.45,09.sie,pa�.80,1100000,55900000
2017-04-16,pa�.78,pa�.84,sie.50,wrz.70,737600,67400000
2017-04-17,wrz.70,wrz.78,lip.59,sie.74,801400,60500000
2017-04-18,sie.74,pa�.38,sie.74,wrz.74,1000000,51400000
2017-04-19,wrz.89,pa�.66,wrz.89,pa�.18,495100,60200000
2017-04-20,pa�.19,pa�.39,wrz.70,10.maj,388400,62400000
2017-04-21,10.cze,10.sie,wrz.50,wrz.87,474600,61500000
2017-04-22,wrz.87,pa�.16,wrz.78,10.lip,442500,59800000
2017-04-23,10.lip,10.lip,wrz.64,wrz.74,294300,62500000
2017-04-24,wrz.77,wrz.97,wrz.63,wrz.78,581300,59900000
2017-04-25,wrz.77,wrz.99,wrz.14,wrz.25,615900,61800000
2017-04-26,wrz.25,wrz.35,lip.92,08.sty,862300,61200000
2017-04-27,08.sty,wrz.62,cze.86,sie.45,715600,47900000
2017-04-28,sie.45,wrz.17,sie.45,wrz.14,433900,50000000
2017-04-29,wrz.15,wrz.15,sie.91,sie.97,557800,56700000
2017-04-30,sie.95,09.lut,sie.74,sie.88,391200,55200000
2017-05-01,sie.89,wrz.22,sie.19,sie.19,483600,57600000
2017-05-02,lip.96,9,lip.69,lip.88,578500,50600000
2017-05-03,lip.89,8,lip.58,lip.61,716500,49700000
2017-05-04,lip.55,lip.71,cze.65,7,556000,48100000
2017-05-05,cze.99,lip.27,maj.78,maj.78,566300,48200000
2017-05-06,maj.84,sie.42,maj.65,sie.22,875100,31100000
2017-05-07,sie.22,sie.39,lip.48,lip.95,266700,52100000
2017-05-08,lip.95,sie.30,lip.62,08.sty,808600,50100000
2017-05-09,08.lut,sie.33,lip.61,lip.93,704500,51200000
2017-05-10,lip.93,08.sty,lip.30,lip.69,499200,50700000
2017-05-11,lip.71,08.mar,lip.17,lip.70,407000,48700000
2017-05-12,lip.71,08.kwi,lip.29,lip.41,448400,50400000
2017-05-13,lip.39,sie.45,07.mar,sie.45,480500,43600000
2017-05-14,sie.49,sie.88,sie.15,sie.79,397700,52800000
2017-05-15,sie.95,wrz.26,sie.51,09.pa�,496900,56100000
2017-05-16,wrz.20,10.sie,sie.95,wrz.81,765100,56900000
2017-05-17,wrz.80,pa�.35,wrz.61,10.lis,783400,61700000
2017-05-18,10.kwi,pa�.87,10.lut,pa�.72,819700,62300000
2017-05-19,pa�.73,lis.37,pa�.72,lis.22,670800,67200000
2017-05-20,lis.23,gru.38,lis.23,gru.35,653400,68600000
2017-05-21,gru.34,gru.93,gru.20,gru.52,545000,78700000
2017-05-22,gru.60,13.32,lis.75,gru.28,834200,82000000
2017-05-23,gru.26,13.34,gru.22,13.19,662400,75900000
2017-05-24,13.20,14.35,13.gru,13.60,1000000,84400000
2017-05-25,13.57,23.37,lis.98,15.67,6200000,89600000
2017-05-26,15.56,17.57,14.lip,15.26,591400,102100000
2017-05-27,15.31,16.36,13.47,14.63,552000,100300000
2017-05-28,14.86,16.68,14.71,15.99,405600,92800000
2017-05-29,15.96,17.51,15.54,17.20,825600,98500000
2017-05-30,17.22,17.79,16.59,16.92,801800,112000000
2017-05-31,17,18.97,17,18.90,1200000,103900000
2017-06-01,18.93,22.95,18.93,22.18,2500000,113900000
2017-06-02,22.19,24.19,21.99,24.19,1500000,136700000
2017-06-03,24.mar,25.66,23.84,25.59,2700000,149800000
2017-06-04,25.53,25.80,24.94,25.55,1700000,163900000
2017-06-05,25.55,32.86,25.55,32.14,2200000,148700000
2017-06-06,32.24,39.78,32.24,37.99,2400000,194700000
2017-06-07,38,38.39,35.20,35.93,3100000,251900000
2017-06-08,36.18,41.43,35.42,41.43,2200000,218000000
2017-06-09,41.33,50.40,41.25,49.97,2800000,245500000
2017-06-10,50.04,59.60,42.61,54.04,3800000,311500000
2017-06-11,54.11,57.52,50.63,53,1800000,367500000
2017-06-12,53.42,53.42,41.72,45.68,2300000,380200000
2017-06-13,45.92,50.87,45.92,50.87,1600000,292700000
