Date,Unnamed: 0,compound,negative,neutral,positive,likes,retweets,Start,Open,High,Low,Close,Volume,Market Cap,order_number,risk_of_PAD
2017-01-02,0,0,0.0,1.0,0.0,0.0,0.0,2017-01-01,0.000146416,0.000149603,0.000109327,0.00010981,0.0,1522.624224951878,4,0
2017-01-04,1,0,0.0,1.0,0.0,0.0,0.0,2017-01-03,0.000112397,0.000114813,0.000112376,0.000114811,0.0,1072.0019437239544,4,0
2017-01-06,2,0,0.0,1.0,0.0,0.0,0.0,2017-01-05,0.000126889,0.000131021,9.1042e-05,0.000101585,1.0,1065.9911350199902,4,0
2017-01-08,3,0,0.0,1.0,0.0,0.0,0.0,2017-01-07,9.022e-05,9.0783e-05,8.2356e-05,9.0248e-05,0.0,830.1404191183291,4,0
2017-01-10,4,0,0.0,1.0,0.0,0.0,0.0,2017-01-09,0.000100092,0.000100505,8.9057e-05,9.0444e-05,1.0,886.6875526872574,4,0
2017-01-12,5,0,0.0,1.0,0.0,0.0,0.0,2017-01-11,9.0759e-05,9.1945e-05,7.6277e-05,7.8044e-05,0.0,804.5587557648337,4,0
2017-01-14,6,0,0.0,1.0,0.0,0.0,0.0,2017-01-13,8.0533e-05,8.29e-05,7.8e-05,8.2318e-05,0.0,762.5739148286281,4,0
2017-01-16,7,0,0.0,1.0,0.0,0.0,0.0,2017-01-15,8.1872e-05,9.8738e-05,8.1287e-05,8.2208e-05,0.0,786.1644204221075,4,0
2017-01-18,8,0,0.0,1.0,0.0,0.0,0.0,2017-01-17,9.1446e-05,0.000100162,9.1388e-05,9.9918e-05,6.0,914.159916438805,4,0
2017-01-20,9,0,0.0,1.0,0.0,0.0,0.0,2017-01-19,9.7127e-05,9.9508e-05,9.7127e-05,9.8907e-05,0.0,934.3134263777388,4,0
2017-01-22,10,0,0.0,1.0,0.0,0.0,0.0,2017-01-21,8.9504e-05,0.000110327,8.9503e-05,9.2199e-05,0.0,893.6646264573436,4,0
2017-01-24,11,0,0.0,1.0,0.0,0.0,0.0,2017-01-23,9.2361e-05,0.000148523,9.1674e-05,0.000147399,2.414342629482072,1099.470732765284,4,0
2017-01-26,12,0,0.0,1.0,0.0,0.0,0.0,2017-01-25,8.9229e-05,9.0325e-05,8.9169e-05,9.0099e-05,0.0,851.5098426559829,4,0
2017-01-28,13,0,0.0,1.0,0.0,0.0,0.0,2017-01-27,8.258e-05,0.0001381,8.2426e-05,0.000137986,2.0,829.5079262273816,4,0
2017-01-30,14,0,0.0,1.0,0.0,0.0,0.0,2017-01-29,7.3727e-05,0.000129245,5.5353e-05,0.000128742,0.0,782.4690243971849,4,0
2017-02-01,15,0,0.0,1.0,0.0,0.0,0.0,2017-01-31,7.3658e-05,7.7762e-05,7.3631e-05,7.7659e-05,0.0,712.9961394201426,4,0
2017-02-03,16,0,0.0,1.0,0.0,0.0,0.0,2017-02-02,7.9129e-05,8.1082e-05,7.8658e-05,8.0934e-05,0.0,754.6514010259792,4,0
2017-02-05,17,0,0.0,1.0,0.0,0.0,0.0,2017-02-04,8.2393e-05,8.3672e-05,8.1213e-05,8.3405e-05,0.0,781.2866121406944,4,0
2017-02-07,18,0,0.0,1.0,0.0,0.0,0.0,2017-02-06,8.2187e-05,8.3571e-05,8.2187e-05,8.302e-05,0.0,786.3795410440903,4,0
2017-02-09,19,0,0.0,1.0,0.0,0.0,0.0,2017-02-08,0.00018043,0.000183425,0.000104338,0.000106299,13.5,1305.799385368731,4,0
2017-02-11,20,0,0.0,1.0,0.0,0.0,0.0,2017-02-10,9.9438e-05,9.9891e-05,9.4669e-05,9.8984e-05,1.0,922.988677178684,4,0
2017-02-13,21,0,0.0,1.0,0.0,0.0,0.0,2017-02-12,0.000180389,0.000361037,0.00011975,0.000119891,29.59507042253521,3718.728787036449,4,0
2017-02-15,22,0,0.0,1.0,0.0,0.0,0.0,2017-02-14,0.000118877,0.000121381,0.000118377,0.00012055,2.663716814159292,1137.5939672416685,4,0
2017-02-17,23,0,0.0,1.0,0.0,0.0,0.0,2017-02-16,0.000151122,0.000152707,0.000131875,0.000133583,1.7762557077625571,1307.63986322254,4,0
2017-02-19,24,0,0.0,1.0,0.0,0.0,0.0,2017-02-18,0.000136007,0.000137943,0.000136007,0.000137041,0.0,1303.4888002660912,4,0
2017-02-21,25,0,0.0,1.0,0.0,0.0,0.0,2017-02-20,0.000136223,0.000140464,0.00013542,0.000140464,0.0,1297.9578208919052,4,0
2017-02-23,26,0,0.0,1.0,0.0,0.0,0.0,2017-02-22,0.000144989,0.000468804,0.000143072,0.000156478,3.4539007092198584,1826.3687768546577,4,0
2017-02-25,27,0,0.0,1.0,0.0,0.0,0.0,2017-02-24,0.000151674,0.000156051,0.000139999,0.000140862,2.0,1442.5927178956815,4,0
2017-02-27,28,0,0.0,1.0,0.0,0.0,0.0,2017-02-26,0.000274522,0.000274759,0.000139136,0.000139868,1.0,1409.1165699420803,4,0
2017-03-01,29,0,0.0,1.0,0.0,0.0,0.0,2017-02-28,0.000235994,0.00023759,0.000140618,0.000141569,1.0,1406.8029962034675,4,0
2017-03-03,30,0,0.0,1.0,0.0,0.0,0.0,2017-03-02,0.00017115,0.000200146,0.000145874,0.00015018,0.0,1478.1369138053406,4,0
2017-03-05,31,0,0.0,1.0,0.0,0.0,0.0,2017-03-04,0.000152999,0.000153528,0.000147661,0.000150685,0.0,1440.198690866146,4,0
