Date,Unnamed: 0,compound,negative,neutral,positive,likes,retweets,Start,Open,High,Low,Close,Volume,Market Cap,order_number,risk_of_PAD
2016-10-01,0,1,0.0,0.80325,0.19675,2.5,1.5,2016-09-30,0.0255628,0.0277368,0.0255628,0.026981,655.1354166666666,153096.95254477265,10,0
2016-10-02,1,1,0.0,0.749,0.251,2.0,2.0,2016-10-01,0.0269844,0.027845,0.0257231,0.0269003,2123.8048780487807,153595.64587009733,10,0
2016-10-08,2,1,0.076,0.729,0.195,3.0,3.0,2016-10-07,0.0253905,0.0253905,0.0236333,0.0244952,2436.8854166666665,141697.67831678153,10,0
2016-10-10,3,1,0.0,0.7845,0.2155,0.0,0.0,2016-10-09,0.0241256,0.0247208,0.0229502,0.0234796,1283.736111111111,139724.5283885942,10,0
2016-10-11,4,1,0.0,0.748,0.252,3.0,2.0,2016-10-10,0.0234771,0.0272052,0.0234455,0.0266921,1813.1354166666667,147988.3592858115,10,0
2016-10-12,5,1,0.0,0.861,0.139,2.5,2.5,2016-10-11,0.0266884,0.0346403,0.0259368,0.032937,7620.88850174216,179158.802678219,10,0
2016-10-14,6,1,0.0,0.6900000000000001,0.31,2.333333333333333,2.0,2016-10-13,0.0349537,0.0383658,0.0348761,0.0377798,6617.40625,217405.02775807207,10,0
2016-10-15,7,1,0.0,0.711,0.289,4.0,1.0,2016-10-14,0.0377828,0.0378679,0.0332342,0.0339791,4766.797909407665,207227.94102409383,10,0
2016-10-18,8,1,0.0,0.684,0.316,8.0,4.0,2016-10-17,0.0308168,0.0310263,0.0293863,0.0300321,1889.0590277777776,177405.68219234658,10,0
2016-10-19,9,1,0.0,0.8905000000000001,0.1095,4.0,2.5,2016-10-18,0.0309833,0.0349767,0.0289858,0.032737,705.9094076655052,177735.99513235997,10,0
2016-10-20,10,0,0.0,1.0,0.0,3.0,2.0,2016-10-19,0.03398,0.0344078,0.0310615,0.0315996,1494.28125,189969.1758411032,10,0
2016-10-21,11,1,0.03425,0.8255,0.1402499999999999,2.25,1.5,2016-10-20,0.0316014,0.0337294,0.0298038,0.0302895,1925.8333333333333,182765.5997769172,10,0
2016-10-22,12,1,0.0,0.8084,0.1916,1.8,0.8,2016-10-21,0.0302899,0.0352166,0.0292406,0.0316005,3877.2508710801394,187295.24904534584,10,0
2016-10-23,13,1,0.0,0.8645,0.1355,0.0,0.0,2016-10-22,0.0316065,0.0394298,0.0308804,0.0379492,6642.604166666667,200998.3563117217,10,0
2016-10-24,14,1,0.0,0.8775,0.1225,2.5,2.5,2016-10-23,0.0379604,0.0380071,0.0322438,0.0322654,7976.392361111111,201386.78224810032,10,0
2016-10-25,15,0,0.0,1.0,0.0,4.0,3.0,2016-10-24,0.0322642,0.0331279,0.0318463,0.0321912,1604.920138888889,193914.3709192085,10,0
2016-10-26,16,1,0.0,0.8433333333333334,0.1566666666666666,3.333333333333333,2.333333333333333,2016-10-25,0.0321932,0.0352079,0.0314721,0.0315334,638.5226480836237,192083.4158277413,10,0
2016-10-28,17,1,0.0,0.8472,0.1528,1.8,1.4,2016-10-27,0.0299759,0.0304162,0.0269083,0.0276917,2545.892361111112,169110.8995311576,10,0
2016-10-29,18,0,0.0,1.0,0.0,0.0,0.0,2016-10-28,0.0277215,0.0277365,0.0246421,0.0246977,1965.97212543554,159300.73832263882,10,0
