Date,Unnamed: 0,compound,negative,neutral,positive,likes,retweets,Open,High,Low,Close,Volume,Market Cap,Time Open,Time High,Time Low,Time Close,order_number,risk_of_PAD
2018-05-14,0,0,0.0204242424242424,0.8879090909090909,0.0916666666666666,25.03030303030303,9.606060606060606,0.0621103011071682,0.0621103011071682,0.0570072010159492,0.0595890991389751,34654500.0,893036349.774,2018-05-14T00:00:00.000Z,2018-05-14T00:04:05.000Z,2018-05-14T13:39:05.000Z,2018-05-14T23:59:59.999Z,2,0
2018-05-15,1,0,0.0098333333333333,0.9149444444444446,0.0752407407407407,20.90740740740741,9.22222222222222,0.0595517009496688,0.0611638016998767,0.0558962002396583,0.0565432012081146,25425700.0,847495773.236,2018-05-15T00:00:00.000Z,2018-05-15T10:49:04.000Z,2018-05-15T23:04:04.000Z,2018-05-15T23:59:59.999Z,2,0
2018-05-16,2,1,0.01971875,0.86971875,0.1105625,55.6875,24.71875,0.0564563982188701,0.0569509007036685,0.0528868995606899,0.056079801172018,24775500.0,840654784.609,2018-05-16T00:00:00.000Z,2018-05-16T00:34:05.000Z,2018-05-16T02:39:04.000Z,2018-05-16T23:59:59.999Z,2,0
2018-05-17,3,0,0.0134509803921568,0.8985882352941177,0.0879607843137254,36.92156862745098,21.215686274509803,0.0560002997517585,0.0572402998805046,0.0509967990219593,0.0515863001346588,19058800.0,773392828.992,2018-05-17T00:00:00.000Z,2018-05-17T03:29:04.000Z,2018-05-17T23:39:04.000Z,2018-05-17T23:59:59.999Z,2,0
2018-05-18,4,0,0.0096,0.9003111111111112,0.0901111111111111,29.53333333333333,12.266666666666667,0.0515767000615596,0.0539483018219471,0.0501695983111858,0.0535460002720356,17086500.0,802872124.616,2018-05-18T00:00:00.000Z,2018-05-18T19:24:04.000Z,2018-05-18T00:59:04.000Z,2018-05-18T23:59:59.999Z,2,0
2018-05-19,5,1,0.0153255813953488,0.8601162790697674,0.1245116279069767,59.65116279069768,26.67441860465116,0.0536314994096756,0.0542136989533901,0.0523701012134552,0.0531149990856647,10290900.0,796510512.442,2018-05-19T00:00:00.000Z,2018-05-19T13:29:04.000Z,2018-05-19T07:49:04.000Z,2018-05-19T23:59:59.999Z,2,0
2018-05-20,6,1,0.0261333333333333,0.8365333333333334,0.1373,22.0,9.833333333333334,0.0531998015940189,0.0572404004633426,0.0526096001267433,0.056600198149681,17384900.0,848882386.092,2018-05-20T00:00:00.000Z,2018-05-20T21:09:04.000Z,2018-05-20T02:29:04.000Z,2018-05-20T23:59:59.999Z,2,0
2018-05-21,7,0,0.0075172413793103,0.928293103448276,0.0642413793103448,16.948275862068964,8.172413793103448,0.0566608011722564,0.0566909983754158,0.0530935004353523,0.0539759993553161,15323400.0,809524978.21,2018-05-21T00:00:00.000Z,2018-05-21T00:09:04.000Z,2018-05-21T18:09:04.000Z,2018-05-21T23:59:59.999Z,2,0
2018-05-22,8,-1,0.0998571428571428,0.8594285714285714,0.0406938775510204,20.83673469387756,10.122448979591836,0.0540618002414703,0.0543682985007762,0.0466325990855693,0.0470088012516498,28075500.0,705031825.176,2018-05-22T00:00:00.000Z,2018-05-22T00:24:04.000Z,2018-05-22T22:59:04.000Z,2018-05-22T23:59:59.999Z,2,0
2018-05-23,9,0,0.0862325581395348,0.8332325581395349,0.0805348837209302,27.09302325581396,12.627906976744184,0.0465374998748302,0.0472328998148441,0.0400581993162632,0.0408121012151241,27259800.0,612094530.221,2018-05-23T00:00:00.000Z,2018-05-23T00:44:04.000Z,2018-05-23T17:54:05.000Z,2018-05-23T23:59:59.999Z,2,0
2018-05-24,10,0,0.07425,0.8457272727272728,0.0800227272727272,17.363636363636363,6.568181818181818,0.0408107005059719,0.0445988997817039,0.0389476008713245,0.0438631996512413,23068500.0,657854528.387,2018-05-24T00:00:00.000Z,2018-05-24T23:34:04.000Z,2018-05-24T09:24:04.000Z,2018-05-24T23:59:59.999Z,2,0
2018-05-25,11,0,0.0328085106382978,0.8591914893617021,0.1079574468085106,31.127659574468087,13.212765957446807,0.0439701005816459,0.0445095002651214,0.0403375998139381,0.041348498314619,12210400.0,620139387.163,2018-05-25T00:00:00.000Z,2018-05-25T03:24:05.000Z,2018-05-25T22:59:04.000Z,2018-05-25T23:59:59.999Z,2,0
2018-05-26,12,0,0.0864901960784313,0.8419019607843137,0.0715882352941176,12.784313725490197,5.392156862745098,0.041210800409317,0.0423969998955726,0.0398212000727653,0.039921298623085,8345600.0,598734428.498,2018-05-26T00:00:00.000Z,2018-05-26T07:34:04.000Z,2018-05-26T23:49:04.000Z,2018-05-26T23:59:59.999Z,2,0
2018-05-27,13,0,0.0596756756756756,0.8785675675675675,0.0617837837837837,16.864864864864863,8.297297297297296,0.0398413017392158,0.0403564013540744,0.0390890017151832,0.0400074012577533,7324240.0,600025745.021,2018-05-27T00:00:00.000Z,2018-05-27T18:04:04.000Z,2018-05-27T00:34:04.000Z,2018-05-27T23:59:59.999Z,2,0
2018-05-28,14,0,0.069574074074074,0.8688148148148147,0.0617222222222222,31.35185185185185,11.962962962962964,0.0399077981710433,0.0423042997717857,0.0346498005092144,0.0350841991603374,21407200.0,526188236.263,2018-05-28T00:00:00.000Z,2018-05-28T01:39:06.000Z,2018-05-28T22:29:05.000Z,2018-05-28T23:59:59.999Z,2,0
2018-05-29,15,-1,0.1101951219512195,0.8336829268292683,0.0560975609756097,29.195121951219512,11.292682926829269,0.0352548994123935,0.0400758013129234,0.0349563993513584,0.0386435016989707,17419600.0,579570151.465,2018-05-29T00:00:00.000Z,2018-05-29T12:14:06.000Z,2018-05-29T01:44:08.000Z,2018-05-29T23:59:59.999Z,2,0
