Date,Text,Likes,Retweets
2017-07-13 23:05:17+00:00,#Chaincoin #1 in Cryptocurrency for most PWOFITS!!!  Believe in HODL and Advanced HODL Technology! https://t.co/kQxE0ARc0J,22,7
2017-07-13 19:26:54+00:00,#Chaincoin movement https://t.co/lyvly0c7eE,11,3
2017-07-12 20:35:37+00:00,buy #chaincoin #chc at https://t.co/o2ljUauY4Z and hodl hard #cryptocurrency #bitcointalk #investments #bitcoin https://t.co/QnFRzmXYaL,3,5
2017-07-12 15:22:11+00:00,Sitting back and watching the $ grow!! #chaingang #chc #chaincoin https://t.co/BiHmSu1KgA,2,1
2017-07-13 21:49:10+00:00,still dont own a #ChainCoin #masternode #1000coins ?maybe your last chance to get one at https://t.co/o2ljUauY4Z  #cryptotalk #bitcointalk https://t.co/mRofDMEMhQ,2,5
2017-07-13 18:04:19+00:00,buy #chaincoin at https://t.co/o2ljUauY4Z   and hodl doodle #cryptocurrency #bitcointalk #investments #bitcoin #Masternodes #waytomoon https://t.co/VaQvgLoXGV,2,2
2017-07-12 04:10:46+00:00,chaincoin is hodling strong against $btc just wait until the bitcoin price rises again https://t.co/TfOMRoZWus,1,0
2017-07-12 01:22:37+00:00,I believe #Chaincoin is still undervalued. The only decent exchange I know of where you can trade #CHC is https://t.co/rLzgmQbcp4,7,2
2017-07-13 18:12:21+00:00,How the F did I miss #Chaincoin!?!? Only a 4000% jump..... — feeling disgusted,3,1
2017-07-13 21:21:46+00:00,#CHC Chaincoin just overtook Pivx.... https://t.co/LrW3kdMmo3,1,2
2017-07-13 18:19:25+00:00,Will $CHC #ChainCoin ever stop going up???,3,0
2017-07-13 15:05:07+00:00,Coins secured for a Chaincoin masternode. Server set up. Getting fitted for my moonsuit. $CHC,3,0
2017-07-13 18:02:26+00:00,Shilled ChainCoin $chc to a friend a few days ago when it was 60 cents. Now its over $4!!😍,2,0
2017-07-13 20:23:23+00:00,ChainCoin where is the limit ? $CHC,3,1
2017-07-13 20:12:57+00:00,"Very cool $chc masternode dashboard
https://t.co/70Ad3yJzbn
#cryptocurrency #ChainCoin",1,0
2017-07-13 18:42:08+00:00,chaincoin 200k omg... the fuck O.o,4,0
2017-07-13 18:11:56+00:00,Second stage booster just kicked in #ChainCoin #HighOnCoins,1,0
2017-07-13 20:00:59+00:00,"Biggest gainers in the past 24 hrs:
1. ChainCoin +220.80% #CHC
2. FirstBlood +8.31% #1ST
3. Augur +4.58% #REP. https://t.co/1Gd7b7OMfk",7,3
2017-07-13 00:10:32+00:00,CHC Chaincoin - my buy of the week up 3041.60% within 7 days,0,0
2017-07-12 06:00:01+00:00,"Top 3! 3/3 - #ChainCoin #CHC

· Last 24h - 51.69%
· MarketCap - 13024710.0€
· 0.86813€
· 0.00043฿",2,0
2017-07-13 16:39:58+00:00,I liked a @YouTube video https://t.co/bXRVoWAYm5 Chaincoin Revolution!,1,0
2017-07-12 18:14:42+00:00,#chaincoin $CHC off the chain coin - residual income with 1000 $CHC - set up your master node on the core wallet,2,0
2017-07-13 11:59:29+00:00,"Buy and hold, simple. imo. whoop whoop! #chaincoin #HODL #CHC https://t.co/Hw0C0IkSKM",3,0
2017-07-12 11:09:38+00:00,"And boom just like that we’re through 0.0005, quick charge upto 0.00058 then another sell wall to be knocked down #ChainCoin",2,0
2017-07-13 00:20:03+00:00,"CHC chaincoin movement is making a history.
Buy low stay high, HighOnCoin🤑💚
＃CHC #highoncoin #chaincoin",17,4
2017-07-12 04:59:02+00:00,Didn't grab much but who's on the 🚀 with #ChainCoin $chc #cryptocurrency,2,1
2017-07-13 21:01:08+00:00,"Biggest gainers in the past 24 hrs:
1. ChainCoin +232.95% #CHC
2. FirstBlood +11.88% #1ST
3. Ripple +2.60% #XRP. https://t.co/esbvJZcX5a",2,0
2017-07-12 22:12:27+00:00,ChainCoin pulling off a PIVX,2,0
2017-07-13 18:41:51+00:00,Chaincoin CHC the hottest crypto currency on the planet — Steemit https://t.co/XWqZq5iFDR,0,0
2017-07-12 19:28:54+00:00,Power of the chain #ChainCoin https://t.co/RkTm11HlyX,0,0
2017-07-12 12:37:03+00:00,Every sell wall that’s put up is taken down brick by brick. Come and help us huddle #zedomax #ChainCoin,1,0
2017-07-13 20:00:16+00:00,Buy #CHC #ChainCoin been doubling everyday,1,0
2017-07-12 17:17:13+00:00,waiting for chaincoin FOMO to end so I can buy the dips lmao,0,0
2017-07-12 01:22:21+00:00,I believe #Chaincoin is still undervalued. I just bought a little more. The only decent exchange I know of where... https://t.co/uQvBIVoKjt,1,0
2017-07-13 17:11:59+00:00,"would not be to greedy if u are holding $CHC 
easiest way to get rekt now is by believing everyone who still says chaincoin x2 x3 x4 x5",8,0
2017-07-12 20:10:52+00:00,Not 24 hours ago I personally switched all my $BTC to #ChainCoin & #Ethereum. I made 2 videos about it yesterday.... https://t.co/eFLzaH20xd,14,2
2017-07-13 15:30:50+00:00,Nxt $CHAINCOIN $CHC contenders are $SCORECOIN $SCORE and $NTRN.. both with Masternodes...,2,1
2017-07-13 06:00:00+00:00,"Top 3! 1/3 - #ChainCoin #CHC

· Last 24h - 224.6%
· MarketCap - 42507004.0€
· 2.83162€
· 0.00136฿",1,0
2017-07-13 12:02:34+00:00,"I'm impressed on how hyped up chaincoin $CHC is. Well done to the facebook pumpers. 

If only the coin isn't useless.

#cryptocurrency",1,0
2017-07-12 17:37:28+00:00,"I liked a @YouTube video https://t.co/S3oxschuam CHC ChainCoin Price Prediction, Forecast 2017-2018",0,0
2017-07-12 21:49:58+00:00,#CHAINCOIN at $1.97 has witnessed an explosive growth from the BUY Alert Signal of $0.11 on 2nd May 2017.!! @Steemit https://t.co/uysTYlWzQZ,2,0
2017-07-13 20:17:55+00:00,@TommyWorldPower what are your thoughts on #ChainCoin?,1,0
