Date,Unnamed: 0,compound,negative,neutral,positive,likes,retweets,Open,High,Low,Close,Volume,Market Cap
2021-01-18,1,0,0,1,0,1,1,1.27,1.29,1.25,1.28,19,24700000
2021-01-19,1,0,0,1,0,1,1,1.29,1.3,1.17,1.17,0,22500000
2021-01-20,1,0,0,1,0,1,1,1.17,1.18,1.1,1.16,0,20900000
2021-01-21,1,0,0,1,0,1,1,1.15,1.88,0.9642679,1.85,38,23100000
2021-01-22,1,0,0,1,0,1,1,1.84,2.03,1.75,1.88,0,23800000
2021-01-23,1,0,0,1,0,1,1,1.87,1.9,1.79,1.83,0,24100000
2021-01-24,1,0,0,1,0,1,1,1.82,1.88,1.77,1.84,0,25700000
2021-01-25,1,0,0,1,0,1,1,1.84,1.97,0.9144164,0.9215018,0,25200000
2021-01-26,1,0,0,1,0,1,1,0.9158958,0.9823607,0.9158958,0.9765684,3,25100000
2021-01-27,1,0,0,1,0,1,1,0.9744937,0.9744937,0.8763526,0.9042859,0,23300000
2021-01-28,1,0,0,1,0,1,1,0.9074748,1.0,0.8930419,0.9903886,0,22400000
2021-01-29,1,0,0,1,0,1,1,0.9951446,1.91,0.9748188,1.71,0,22300000
2021-01-30,1,0,0,1,0,1,0,1.72,1.74,0.2561245,1.37,0,22800000
2021-01-31,1,0,0,1,0,1,0,1.37,1.53,1.35,1.49,0,23200000
2021-02-01,1,0,0,1,0,1,1,1.49,1.56,1.46,1.51,0,23000000
2021-02-02,1,0,0,1,0,1,1,1.51,1.59,0.2767322,0.3551402,0,23300000
2021-02-03,1,0,0,1,0,1,1,0.3547658,1.84,0.3543983,1.84,0,22800000
2021-02-04,1,0,0,1,0,1,1,1.84,1.87,1.09,1.48,0,22200000
2021-02-05,1,0,0,1,0,1,1,1.48,1.51,1.12,1.14,0,22800000
2021-02-06,1,0,0,1,0,1,0,1.15,1.22,0.9795514,0.9821959,0,23300000
2021-02-07,1,0,0,1,0,1,1,0.9768192,0.9907203,0.9393017,0.9717692,0,23400000
2021-02-08,1,0,0,1,0,1,1,0.9700848,1.08,0.7406438,0.9217999,0,23100000
2021-02-09,1,0,0,1,0,1,1,0.926517,0.9586854,0.0686737,0.2815063,255,22500000
2021-02-10,1,0,0,1,0,1,1,0.2812282,1.13,0.2725598,1.12,0,21000000
2021-02-11,1,0,0,1,0,1,1,1.12,1.81,1.0,1.07,0,19800000
2021-02-12,1,0,0,1,0,1,1,1.08,1.09,1.05,1.07,0,18600000
2021-02-13,1,0,0,1,0,1,1,1.07,1.76,1.06,1.74,0,18500000
2021-02-14,1,0,0,1,0,1,1,1.75,1.92,1.19,1.22,19,19100000
2021-02-15,1,0,0,1,0,1,1,1.22,1.22,1.16,1.2,0,20000000
2021-02-16,1,0,0,1,0,1,0,1.2,2.0,1.19,1.35,0,20000000
2021-02-17,1,0,0,1,0,1,1,1.35,1.57,1.35,1.56,0,19100000
2021-02-18,1,0,0,1,0,1,1,1.56,1.57,1.53,1.55,0,19200000
2021-02-19,1,0,0,1,0,1,1,1.55,1.56,0.9713726,1.29,0,19200000
2021-02-20,1,0,0,1,0,1,1,1.29,1.78,1.28,1.74,0,20200000
2021-02-21,1,0,0,1,0,1,1,1.73,1.8,1.72,1.78,0,41000000
2021-02-22,1,0,0,1,0,1,1,1.78,2.62,1.55,2.6,12,65000000
2021-02-23,1,0,0,1,0,1,1,2.6,2.6,1.16,1.81,0,68100000
2021-02-24,1,0,0,1,0,1,0,1.82,1.85,0.9186059,0.9445349,0,65400000
2021-02-25,1,0,0,1,0,1,0,0.9478348,1.49,0.9293058,1.42,0,67500000
2021-02-26,1,0,0,1,0,1,1,1.41,1.43,0.906501,0.9258194,27,59400000
2021-02-27,1,0,0,1,0,1,0,0.9262974,0.9643012,0.9083727,0.9251808,0,17600000
2021-02-28,1,0,0,1,0,1,1,0.9214679,1.26,0.8906078,1.24,0,18400000
2021-03-01,1,0,0,1,0,1,1,1.24,1.37,1.24,1.36,2,18700000
2021-03-02,1,0,0,1,0,1,0,1.36,1.38,1.3,1.33,0,19100000
2021-03-03,1,0,0,1,0,1,1,1.33,1.44,1.32,1.39,0,19600000
2021-03-04,1,0,0,1,0,1,1,1.38,1.42,1.31,1.33,0,20200000
2021-03-05,1,0,0,1,0,1,1,1.33,1.35,1.28,1.34,0,21200000
2021-03-06,1,0,0,1,0,1,1,1.34,1.47,1.3,1.47,0,22200000
2021-03-07,1,0,0,1,0,1,1,1.47,1.54,1.47,1.54,5,21700000
2021-03-08,1,0,0,1,0,1,1,1.53,1.57,1.49,1.57,0,19900000
2021-03-09,1,0,0,1,0,1,1,1.57,1.64,1.37,1.37,1,20100000
2021-03-10,1,0,0,1,0,1,1,1.37,1.43,1.33,1.4,0,20300000
2021-03-11,1,0,0,1,0,1,1,1.4,1.45,1.36,1.44,0,20100000
2021-03-12,1,0,0,1,0,1,0,1.45,1.62,1.39,1.62,0,21100000
2021-03-13,1,0,0,1,0,1,1,1.61,1.74,1.59,1.73,0,20900000
2021-03-14,1,0,0,1,0,1,1,1.72,1.74,1.67,1.67,0,20700000
2021-03-15,1,0,0,1,0,1,1,1.66,1.71,1.56,1.57,0,20500000
2021-03-16,1,0,0,1,0,1,0,1.57,1.6,1.51,1.6,0,19900000
2021-03-17,1,0,0,1,0,1,1,1.61,1.66,1.53,1.66,0,19400000
2021-03-18,1,0,0,1,0,1,1,1.67,1.67,1.58,1.59,1,19300000
2021-03-19,1,0,0,1,0,1,1,1.58,1.63,1.45,1.45,0,23100000
2021-03-20,1,0,0,1,0,1,1,1.45,1.49,1.45,1.45,0,23900000
2021-03-21,1,0,0,1,0,1,0,1.45,1.46,1.4,1.44,0,23100000
2021-03-22,1,0,0,1,0,1,0,1.43,1.45,1.35,1.36,0,22200000
2021-03-23,1,0,0,1,0,1,0,1.35,1.39,1.33,1.36,7,19500000
2021-03-24,1,0,0,1,0,1,1,1.36,1.59,1.34,1.5,0,19400000
2021-03-25,1,0,0,1,0,1,0,1.5,1.59,1.48,1.54,0,19400000
2021-03-26,1,0,0,1,0,1,1,1.54,1.65,1.54,1.65,4,19000000
2021-03-27,1,0,0,1,0,1,1,1.65,1.69,1.62,1.67,3,19700000
2021-03-28,1,-1,0,1,0,1,1,1.67,1.69,1.64,1.67,5,21900000
2021-03-29,1,0,0,1,0,1,1,1.67,1.75,1.65,1.73,0,23400000
2021-03-30,1,0,0,1,0,1,0,1.72,1.78,1.71,1.76,0,23900000
2021-03-31,1,0,0,1,0,1,1,1.76,1.77,1.55,1.59,0,24700000
2021-04-01,1,0,0,1,0,1,1,1.59,1.6,1.57,1.59,0,25200000
2021-04-02,1,0,0,1,0,1,1,1.59,1.62,1.52,1.55,0,25300000
2021-04-03,1,0,0,1,0,1,1,1.55,1.64,1.51,1.58,0,26700000
2021-04-04,1,0,0,1,0,1,0,1.57,1.73,1.56,1.66,0,26300000
2021-04-05,1,0,0,1,0,1,1,1.66,1.73,1.63,1.68,11,24800000
2021-04-06,1,0,0,1,0,1,1,1.69,1.74,1.65,1.66,0,24800000
2021-04-07,1,0,0,1,0,1,1,1.66,1.67,1.59,1.61,0,25600000
2021-04-08,1,0,0,1,0,1,1,1.6,1.67,1.23,1.24,0,25600000
2021-04-09,1,0,0,1,0,1,0,1.24,1.26,1.24,1.24,0,23400000
2021-04-10,1,0,0,1,0,1,0,1.24,1.55,1.24,1.47,0,22300000
2021-04-11,1,0,0,1,0,1,1,1.48,1.85,1.47,1.85,8,24400000
