Date,Open,High,Low,Close,Volume,Market Cap,Time Open,Time High,Time Low,Time Close
2021-07-21,264.49474329,298.79174647,261.22637374,292.53137263,1957623339.41,49185357931.43,2021-07-21T00:00:00.000Z,2021-07-21T16:39:10.000Z,2021-07-21T01:17:08.000Z,2021-07-21T23:59:59.999Z
2021-07-20,280.5649761,283.2061442,255.8507594,264.78237478,1819454491.39,44519723680.15,2021-07-20T00:00:00.000Z,2021-07-20T00:40:09.000Z,2021-07-20T10:01:07.000Z,2021-07-20T23:59:59.999Z
2021-07-19,302.26821783,303.82918657,279.70853987,280.01861836,1514754520.88,47081500515.74,2021-07-19T00:00:00.000Z,2021-07-19T00:07:06.000Z,2021-07-19T13:11:07.000Z,2021-07-19T23:59:59.999Z
2021-07-18,300.59598386,309.11424313,299.97225936,302.4804892,1254819647.13,51250407821.83,2021-07-18T00:00:00.000Z,2021-07-18T01:35:07.000Z,2021-07-18T15:01:10.000Z,2021-07-18T23:59:59.999Z
2021-07-17,302.93483114,306.53086597,295.38747012,300.4979252,1298507379.36,46106267206.1,2021-07-17T00:00:00.000Z,2021-07-17T01:00:07.000Z,2021-07-17T03:14:06.000Z,2021-07-17T23:59:59.999Z
2021-07-16,315.6910893,322.99778013,301.93250563,302.98559312,1688212207.5,46487957302.36,2021-07-16T00:00:00.000Z,2021-07-16T02:29:08.000Z,2021-07-16T10:35:09.000Z,2021-07-16T23:59:59.999Z
2021-07-15,309.5006271,323.88589596,301.65666729,315.24402989,2242114046.07,48368804767.43,2021-07-15T00:00:00.000Z,2021-07-15T10:05:09.000Z,2021-07-15T06:31:08.000Z,2021-07-15T23:59:59.999Z
2021-07-14,308.95262114,313.21577944,290.66237378,309.40638002,1646743037.8,47473117237.03,2021-07-14T00:00:00.000Z,2021-07-14T15:15:31.000Z,2021-07-14T09:01:25.000Z,2021-07-14T23:59:59.999Z
2021-07-13,316.26889072,318.29514803,305.48940807,308.81114239,1231759805.26,47381788202.82,2021-07-13T00:00:00.000Z,2021-07-13T03:18:30.000Z,2021-07-13T20:04:31.000Z,2021-07-13T23:59:59.999Z
2021-07-12,322.03490974,334.28205953,309.14206123,316.32819673,1614469809.84,48535151627.45,2021-07-12T00:00:00.000Z,2021-07-12T08:20:34.000Z,2021-07-12T20:07:35.000Z,2021-07-12T23:59:59.999Z
2021-07-11,316.05635327,326.75181314,312.63901886,322.03165218,1189805384.47,49410249319.01,2021-07-11T00:00:00.000Z,2021-07-11T22:02:08.000Z,2021-07-11T04:32:08.000Z,2021-07-11T23:59:59.999Z
2021-07-10,316.99632199,320.93927754,310.88688778,316.14012881,1179686219.35,48506295821.07,2021-07-10T00:00:00.000Z,2021-07-10T00:44:09.000Z,2021-07-10T11:08:09.000Z,2021-07-10T23:59:59.999Z
2021-07-09,310.01029325,319.44391605,301.82821408,316.48452548,1358583890.67,48559137599.7,2021-07-09T00:00:00.000Z,2021-07-09T23:01:08.000Z,2021-07-09T01:48:12.000Z,2021-07-09T23:59:59.999Z
2021-07-08,327.95785677,327.95785677,305.07542804,310.42712085,1883785089.88,47629732460.0,2021-07-08T00:00:00.000Z,2021-07-08T00:00:17.000Z,2021-07-08T22:34:08.000Z,2021-07-08T23:59:59.999Z
2021-07-07,320.19178513,339.16767704,318.52995842,327.52244654,2067233169.12,50252717804.6,2021-07-07T00:00:00.000Z,2021-07-07T13:58:09.000Z,2021-07-07T00:35:08.000Z,2021-07-07T23:59:59.999Z
