Date,Unnamed: 0,compound,negative,neutral,positive,likes,retweets,Open,High,Low,Close,Volume,Market Cap
2016-10-02,1,1,0,1,1,1,1,0.0269844,0.027845,0.0257231,0.0269003,2123.8048780487807,153595.64587009733
2016-10-08,1,1,0,1,0,1,1,0.0253905,0.0253905,0.0236333,0.0244952,2436.8854166666665,141697.67831678153
2016-10-10,1,1,0,1,0,0,0,0.0241256,0.0247208,0.0229502,0.0234796,1283.736111111111,139724.5283885942
2016-10-11,1,1,0,1,1,1,1,0.0234771,0.0272052,0.0234455,0.0266921,1813.1354166666667,147988.3592858115
2016-10-12,1,1,0,1,0,1,1,0.0266884,0.0346403,0.0259368,0.032937,7620.88850174216,179158.802678219
2016-10-14,1,1,0,1,1,1,1,0.0349537,0.0383658,0.0348761,0.0377798,6617.40625,217405.02775807207
2016-10-15,1,1,0,1,1,1,1,0.0377828,0.0378679,0.0332342,0.0339791,4766.797909407665,207227.94102409383
2016-10-18,1,1,0,1,1,1,1,0.0308168,0.0310263,0.0293863,0.0300321,1889.0590277777776,177405.68219234658
2016-10-19,1,1,0,1,0,1,1,0.0309833,0.0349767,0.0289858,0.032737,705.9094076655052,177735.99513235997
2016-10-20,1,0,0,1,0,1,1,0.03398,0.0344078,0.0310615,0.0315996,1494.28125,189969.1758411032
2016-10-21,1,1,0,1,0,1,1,0.0316014,0.0337294,0.0298038,0.0302895,1925.8333333333333,182765.5997769172
2016-10-22,1,1,0,1,0,1,1,0.0302899,0.0352166,0.0292406,0.0316005,3877.2508710801394,187295.24904534584
2016-10-23,1,1,0,1,0,0,0,0.0316065,0.0394298,0.0308804,0.0379492,6642.604166666667,200998.3563117217
2016-10-24,1,1,0,1,0,1,1,0.0379604,0.0380071,0.0322438,0.0322654,7976.392361111111,201386.78224810032
2016-10-25,1,0,0,1,0,1,1,0.0322642,0.0331279,0.0318463,0.0321912,1604.920138888889,193914.3709192085
2016-10-26,1,1,0,1,0,1,1,0.0321932,0.0352079,0.0314721,0.0315334,638.5226480836237,192083.41582774132
2016-10-28,1,1,0,1,0,1,1,0.0299759,0.0304162,0.0269083,0.0276917,2545.892361111112,169110.8995311576
2016-10-29,1,0,0,1,0,0,0,0.0277215,0.0277365,0.0246421,0.0246977,1965.97212543554,159300.73832263882
2016-10-30,1,1,0,1,0,1,1,0.0247006,0.0290454,0.0247006,0.0251462,2072.4599303135888,155405.9936965613
2016-10-31,1,0,0,1,0,0,0,0.0251294,0.0279232,0.0244881,0.027184,1068.451388888889,154986.51425083994
2016-11-01,1,1,0,1,0,1,1,0.0271749,0.0279366,0.0236397,0.0247702,771.2326388888889,156982.003639751
2016-11-03,1,0,0,1,0,1,1,0.026426,0.0264485,0.0246018,0.0250229,754.7326388888889,150608.015591303
2016-11-04,1,1,0,1,0,1,1,0.0251495,0.0253116,0.0224401,0.0228102,648.8576388888889,144887.42375374178
2016-11-05,1,1,0,1,0,1,1,0.0228,0.0239162,0.0223806,0.0231115,797.184668989547,136848.3022201764
2016-11-06,1,1,0,1,1,1,1,0.0231137,0.0250985,0.0227634,0.0243245,611.9201388888889,142555.83776656125
2016-11-07,1,0,0,1,0,0,1,0.0243214,0.0251613,0.0241585,0.0248028,487.6847826086956,147808.50897956322
2016-11-09,1,0,0,1,0,1,1,0.0231328,0.0246724,0.0228893,0.0238372,1436.780487804878,139963.7559118429
2016-11-10,1,0,0,1,0,0,0,0.0238304,0.0244772,0.0225164,0.0236297,483.375,140908.69677004806
2016-11-11,1,1,0,1,0,1,1,0.02363,0.0244387,0.0217434,0.0226116,808.4826388888889,131282.98652812166
2016-11-14,1,0,0,1,0,1,0,0.022134,0.0236385,0.0215907,0.0219584,592.9756944444445,132686.2405919061
2016-11-15,1,0,0,1,0,0,1,0.0219566,0.0223703,0.0206665,0.0215109,769.2777777777778,130010.70455299458
2016-11-16,1,1,0,1,0,1,1,0.0217594,0.0221143,0.0206443,0.0213905,719.8466898954704,128971.8076778427
2016-11-17,1,0,0,1,0,1,1,0.0213962,0.0218949,0.020333,0.0212762,699.6354166666666,128101.3711930896
2016-11-18,1,1,0,1,0,1,1,0.0212749,0.0220408,0.0200257,0.0203474,881.3159722222222,125768.94078422152
2016-11-19,1,1,0,1,1,1,1,0.020338,0.0286541,0.0202148,0.0215082,1317.425087108014,135966.20259327866
2016-11-21,1,1,0,1,1,1,1,0.0210806,0.0212949,0.0195036,0.0195543,382.60069444444446,123786.10023004322
