Date,Unnamed: 0,compound,negative,neutral,positive,likes,retweets,Open,High,Low,Close,Volume,Market Cap,Time Open,Time High,Time Low,Time Close
2020-12-01,0,1,0,1,0,1,1,0.01597537,0.01644031,0.01439227,0.01475701,169583249.01,949105613.4114492,2020-12-01T00:00:00.000Z,2020-12-01T08:02:02.000Z,2020-12-01T13:16:03.000Z,2020-12-01T23:59:59.999Z
2020-12-02,1,1,0,1,0,1,1,0.01475732,0.01687871,0.01445868,0.01639513,192625527.43,1054462020.848734,2020-12-02T00:00:00.000Z,2020-12-02T20:34:02.000Z,2020-12-02T00:07:02.000Z,2020-12-02T23:59:59.999Z
2020-12-03,1,1,0,1,0,1,1,0.01640016,0.01791812,0.01607657,0.01739001,230150040.65,1118448608.6906984,2020-12-03T00:00:00.000Z,2020-12-03T15:04:02.000Z,2020-12-03T07:16:02.000Z,2020-12-03T23:59:59.999Z
2020-12-04,1,1,0,1,0,1,1,0.01739102,0.01774465,0.01549343,0.01577396,171198722.75,1014511078.8828652,2020-12-04T00:00:00.000Z,2020-12-04T00:25:02.000Z,2020-12-04T23:01:05.000Z,2020-12-04T23:59:59.999Z
2020-12-05,1,1,0,1,0,1,1,0.01575753,0.01765113,0.01550867,0.01749452,177805737.43,1125170385.89587,2020-12-05T00:00:00.000Z,2020-12-05T18:14:02.000Z,2020-12-05T00:08:02.000Z,2020-12-05T23:59:59.999Z
2020-12-06,1,0,0,1,0,1,1,0.01749129,0.01755272,0.01655838,0.01715767,157601280.07,1103505547.9153235,2020-12-06T00:00:00.000Z,2020-12-06T00:04:02.000Z,2020-12-06T13:49:02.000Z,2020-12-06T23:59:59.999Z
2020-12-07,1,1,0,1,0,1,1,0.01715217,0.01847495,0.0165285,0.01813316,239821926.34,1166244948.2718318,2020-12-07T00:00:00.000Z,2020-12-07T16:52:02.000Z,2020-12-07T02:19:02.000Z,2020-12-07T23:59:59.999Z
2020-12-08,1,1,0,1,0,1,1,0.01813654,0.01828554,0.01605362,0.0163551,206426111.45,1051887786.171313,2020-12-08T00:00:00.000Z,2020-12-08T00:35:02.000Z,2020-12-08T23:16:05.000Z,2020-12-08T23:59:59.999Z
2020-12-09,1,1,0,1,0,1,1,0.0163502,0.01707891,0.01513832,0.01680604,196114387.22,1080890466.2578602,2020-12-09T00:00:00.000Z,2020-12-09T21:13:02.000Z,2020-12-09T08:39:02.000Z,2020-12-09T23:59:59.999Z
2020-12-10,1,1,0,1,0,1,1,0.01680119,0.01686568,0.01565378,0.0159095,132681910.89,1023228923.6138456,2020-12-10T00:00:00.000Z,2020-12-10T00:05:02.000Z,2020-12-10T15:20:03.000Z,2020-12-10T23:59:59.999Z
2020-12-11,1,0,0,1,0,1,1,0.01590905,0.01598509,0.01496853,0.01560552,145143480.43,1003678133.4110672,2020-12-11T00:00:00.000Z,2020-12-11T19:14:02.000Z,2020-12-11T11:40:02.000Z,2020-12-11T23:59:59.999Z
2020-12-12,1,0,0,1,0,1,1,0.01559882,0.01670235,0.01559443,0.01651107,137125279.69,1061919296.4036494,2020-12-12T00:00:00.000Z,2020-12-12T22:08:02.000Z,2020-12-12T00:01:02.000Z,2020-12-12T23:59:59.999Z
2020-12-13,1,0,0,1,0,1,1,0.0165138,0.01698241,0.0162462,0.01646122,137656567.91,1058712622.7824672,2020-12-13T00:00:00.000Z,2020-12-13T10:00:02.000Z,2020-12-13T22:28:02.000Z,2020-12-13T23:59:59.999Z
2020-12-14,1,1,0,1,0,1,1,0.01646313,0.01661711,0.01613734,0.01635982,125886667.96,1052191105.7990994,2020-12-14T00:00:00.000Z,2020-12-14T09:10:02.000Z,2020-12-14T13:25:03.000Z,2020-12-14T23:59:59.999Z
2020-12-15,1,1,0,1,0,1,1,0.016361,0.01690451,0.01605433,0.01651474,132008814.85,1062154944.4451288,2020-12-15T00:00:00.000Z,2020-12-15T15:52:02.000Z,2020-12-15T05:19:02.000Z,2020-12-15T23:59:59.999Z
2020-12-16,1,0,0,1,0,1,1,0.0165132,0.01742422,0.01624371,0.01725377,183501677.03,1109686233.473034,2020-12-16T00:00:00.000Z,2020-12-16T16:58:02.000Z,2020-12-16T00:32:02.000Z,2020-12-16T23:59:59.999Z
2020-12-17,1,1,0,1,0,1,1,0.01726365,0.01813774,0.01650855,0.01706112,207249390.2,1097295936.7304325,2020-12-17T00:00:00.000Z,2020-12-17T17:40:03.000Z,2020-12-17T09:49:02.000Z,2020-12-17T23:59:59.999Z
2020-12-18,1,0,0,1,0,1,1,0.0170735,0.01762172,0.01665113,0.01744466,143165131.5,1121963379.1399367,2020-12-18T00:00:00.000Z,2020-12-18T10:04:02.000Z,2020-12-18T00:25:02.000Z,2020-12-18T23:59:59.999Z
2020-12-19,1,0,0,1,0,1,1,0.01744083,0.01806611,0.01720546,0.01737384,155048740.33,1117408510.3193047,2020-12-19T00:00:00.000Z,2020-12-19T13:58:02.000Z,2020-12-19T02:41:02.000Z,2020-12-19T23:59:59.999Z
2020-12-20,1,1,0,1,0,1,1,0.0173718,0.01746559,0.01584091,0.01630663,154534879.93,1048770392.0884109,2020-12-20T00:00:00.000Z,2020-12-20T09:14:02.000Z,2020-12-20T22:04:02.000Z,2020-12-20T23:59:59.999Z
2020-12-21,1,0,0,1,0,1,1,0.01630955,0.01649305,0.01516256,0.01557013,150565040.05,1001401878.4506736,2020-12-21T00:00:00.000Z,2020-12-21T01:01:02.000Z,2020-12-21T12:17:02.000Z,2020-12-21T23:59:59.999Z
2020-12-22,1,1,0,1,0,1,1,0.01555998,0.01619321,0.01502145,0.01587294,142213567.45,1020877000.2348796,2020-12-22T00:00:00.000Z,2020-12-22T16:23:02.000Z,2020-12-22T08:30:02.000Z,2020-12-22T23:59:59.999Z
2020-12-23,1,0,0,1,0,1,1,0.01586452,0.0159995,0.01203857,0.01316908,200364779.88,846977272.5023997,2020-12-23T00:00:00.000Z,2020-12-23T01:01:02.000Z,2020-12-23T22:25:03.000Z,2020-12-23T23:59:59.999Z
2020-12-24,1,1,0,1,0,1,1,0.01318248,0.0150934,0.01269248,0.01487864,185529575.97,956928432.5932028,2020-12-24T00:00:00.000Z,2020-12-24T23:01:02.000Z,2020-12-24T00:46:02.000Z,2020-12-24T23:59:59.999Z
2020-12-25,1,1,0,1,0,1,1,0.0148797,0.0152295,0.01424301,0.01458231,137050816.73,937869809.8698626,2020-12-25T00:00:00.000Z,2020-12-25T11:37:02.000Z,2020-12-25T17:06:02.000Z,2020-12-25T23:59:59.999Z
2020-12-26,1,0,0,1,0,1,1,0.01458723,0.01742761,0.01367927,0.01643357,236742947.34,1056934416.6863998,2020-12-26T00:00:00.000Z,2020-12-26T22:10:03.000Z,2020-12-26T11:22:02.000Z,2020-12-26T23:59:59.999Z
2020-12-27,1,1,0,1,0,1,1,0.01643478,0.01790253,0.01590431,0.01649867,332551861.48,1061121307.6468709,2020-12-27T00:00:00.000Z,2020-12-27T16:08:02.000Z,2020-12-27T12:14:02.000Z,2020-12-27T23:59:59.999Z
2020-12-28,1,1,0,1,0,1,1,0.01651175,0.02036642,0.01634867,0.02017304,375323739.76,1297440502.9668376,2020-12-28T00:00:00.000Z,2020-12-28T23:52:02.000Z,2020-12-28T00:04:02.000Z,2020-12-28T23:59:59.999Z
2020-12-29,1,1,0,1,0,1,1,0.02015302,0.02126089,0.01870525,0.02103005,532783085.25,1352560114.5645714,2020-12-29T00:00:00.000Z,2020-12-29T22:28:02.000Z,2020-12-29T11:38:02.000Z,2020-12-29T23:59:59.999Z
2020-12-30,1,1,0,1,0,1,1,0.02106179,0.0212511,0.01917703,0.02025278,264056952.72,1302568943.101021,2020-12-30T00:00:00.000Z,2020-12-30T00:03:02.000Z,2020-12-30T09:04:02.000Z,2020-12-30T23:59:59.999Z
2020-12-31,1,1,0,1,0,1,1,0.02024497,0.02025448,0.01841296,0.01877717,202503469.69,1207664563.4237742,2020-12-31T00:00:00.000Z,2020-12-31T00:01:02.000Z,2020-12-31T13:17:02.000Z,2020-12-31T23:59:59.999Z
2021-01-01,1,1,0,1,0,1,1,0.01877762,0.0201721,0.01854368,0.01908011,216206840.22,1227148151.4249742,2021-01-01T00:00:00.000Z,2021-01-01T12:14:02.000Z,2021-01-01T00:16:02.000Z,2021-01-01T23:59:59.999Z
2021-01-02,1,0,0,1,0,1,1,0.01908112,0.02109945,0.01854994,0.0199848,278974618.04,1285334118.0690498,2021-01-02T00:00:00.000Z,2021-01-02T18:01:03.000Z,2021-01-02T01:16:02.000Z,2021-01-02T23:59:59.999Z
