Date,Unnamed: 0,compound,negative,neutral,positive,likes,retweets,Open,High,Low,Close,Volume,Market Cap,Time Open,Time High,Time Low,Time Close
2021-01-01,0,0,0,1,0,1,1,0.21984463,0.24926978,0.21728764,0.23744438,5888429287.11,10780931627.255676,2021-01-01T00:00:00.000Z,2021-01-01T17:16:03.000Z,2021-01-01T00:16:03.000Z,2021-01-01T23:59:59.999Z
2021-01-03,1,0,0,1,0,1,1,0.22174389,0.23774116,0.21716681,0.22584819,5109898871.42,10254417776.80276,2021-01-03T00:00:00.000Z,2021-01-03T17:10:03.000Z,2021-01-03T07:52:03.000Z,2021-01-03T23:59:59.999Z
2021-01-05,1,0,0,1,0,1,1,0.23663584,0.2412511,0.22160197,0.22675012,5378491929.29,10295369035.413813,2021-01-05T00:00:00.000Z,2021-01-05T11:42:03.000Z,2021-01-05T14:13:03.000Z,2021-01-05T23:59:59.999Z
2021-01-07,1,0,0,1,0,1,1,0.25092553,0.36529635,0.24780984,0.32600198,15955049239.63,14801803204.921062,2021-01-07T00:00:00.000Z,2021-01-07T16:27:03.000Z,2021-01-07T00:16:03.000Z,2021-01-07T23:59:59.999Z
2021-01-09,1,0,0,1,0,1,1,0.32315641,0.33985872,0.30789503,0.32691622,7184429144.91,14843313423.838371,2021-01-09T00:00:00.000Z,2021-01-09T21:22:03.000Z,2021-01-09T01:28:03.000Z,2021-01-09T23:59:59.999Z
2021-01-11,1,0,0,1,0,1,1,0.31794093,0.31794093,0.25946787,0.28890503,9787288502.54,13117452413.857552,2021-01-11T00:00:00.000Z,2021-01-11T00:00:03.000Z,2021-01-11T03:40:03.000Z,2021-01-11T23:59:59.999Z
2021-01-13,1,0,0,1,0,1,1,0.2920282,0.30879798,0.28688895,0.30557979,4831812051.28,13874553414.057388,2021-01-13T00:00:00.000Z,2021-01-13T22:04:03.000Z,2021-01-13T01:00:03.000Z,2021-01-13T23:59:59.999Z
2021-01-15,1,0,0,1,0,1,1,0.29556898,0.30175669,0.26474733,0.2804055,4955409029.29,12731539390.993313,2021-01-15T00:00:00.000Z,2021-01-15T01:34:03.000Z,2021-01-15T16:10:03.000Z,2021-01-15T23:59:59.999Z
2021-01-17,1,0,0,1,0,1,1,0.28006687,0.28526809,0.27065174,0.27738365,3488557208.01,12594335138.243153,2021-01-17T00:00:00.000Z,2021-01-17T02:02:03.000Z,2021-01-17T10:04:03.000Z,2021-01-17T23:59:59.999Z
2021-01-19,1,0,0,1,0,1,1,0.28482555,0.32618792,0.283997,0.2943137,5583136814.5,13363027568.889671,2021-01-19T00:00:00.000Z,2021-01-19T06:04:03.000Z,2021-01-19T00:40:03.000Z,2021-01-19T23:59:59.999Z
2021-01-21,1,0,0,1,0,1,1,0.29646649,0.30621835,0.26312363,0.26894641,4453463443.36,12211250678.406933,2021-01-21T00:00:00.000Z,2021-01-21T03:07:03.000Z,2021-01-21T22:41:03.000Z,2021-01-21T23:59:59.999Z
2021-01-23,1,0,0,1,0,1,1,0.27261076,0.28262269,0.26697864,0.27182148,3018882841.38,12341790397.92694,2021-01-23T00:00:00.000Z,2021-01-23T01:01:03.000Z,2021-01-23T13:07:03.000Z,2021-01-23T23:59:59.999Z
