Date,Text,Likes,Retweets
2017-07-13 22:25:19+00:00,"#Bitcoin Has More Than Tripled In Value In 2017

#fintech #makeyourownlane #IoT #Mpgvip #defstar5 #cryptocurrency #blockchain #ethereum #AI https://t.co/HT7GnjmiKC",76,110
2017-07-13 22:46:23+00:00,"Great crowd to watch @francispouliot_ explain #UASF potential #Bitcoin Fork, watch live... #segwit #BIP148 #segwit2x https://t.co/Fx8hjaoyns",96,22
2017-07-13 21:53:01+00:00,"Bitcoin is a cultural phenomenon. Not a ""platform"" or ""technology"". It's a global process of reaching consensus in a hostile environment.",209,67
2017-07-13 21:57:12+00:00,Bitcoin is a process of organization itself. A result of humanity trying to safely exit the feudal regime by agreeing on sovereign money.,127,50
2017-07-13 22:43:43+00:00,Bitcoin Scaling Watch: News & Guides to Navigate the Coming Clash of Code - https://t.co/T0y2jbteCd,2,1
2017-07-13 23:50:13+00:00,Screw #bitcoin. I need Ecoin https://t.co/DKc6qI4msu,7,3
2017-07-13 23:47:54+00:00,"When Silk Road arrest happened in '13, Bitcoin price crashed 40% in one day. Ecosystem is way more mature & diverse now, deeper liquidity. https://t.co/3CCAis1tFE",83,39
2017-07-13 22:11:03+00:00,"Engineer tears down a Bitcoin Trezor Hardware Wallet
https://t.co/Z6OwoNMwMr",51,22
2017-07-13 22:19:13+00:00,"This is how you succeed.

#AI #design #startup #UX #IoT #code #gamedev #data #tech #gaming #developers #bitcoin - https://t.co/uLStSckxqi https://t.co/i3271jRHAI",7,8
2017-07-13 22:56:30+00:00,"Photos from last night's meetup in southern California. We had a lively discussion on #bitcoin, #Ethereum, and #RealEstate. #PropTech https://t.co/emQrfhsOvP",7,1
2017-07-13 22:15:36+00:00,"LIVE from #Montream #Bitcoin Meetup focused on #UASF #BIP148 #SegWit ""What You Need To Know"" by @francispouliot_ https://t.co/4qrv3VaUn6",49,23
2017-07-13 22:55:25+00:00,"Darknet Market AlphaBay shutdown following raids. Looks like it's back to #bitcoin for $XMR & $ZEC drug purchasers.

https://t.co/kQ13O6s8kz",21,22
2017-07-13 22:41:38+00:00,"Increase to 2.24 MH/s on the only patriot #Blockchain GlobalBoost $BSTY.
 
#ThankAVet #Bitcoin #MAGA #DC #Fintech https://t.co/RtrsMjyGMm",9,7
2017-07-13 23:50:19+00:00,"#Bitnodes #Bitcoin Network Map -- 7,893 reachable nodes via @port8333 -- Keep BItcoin Decentralized #SegWit #UASF #BIP148 https://t.co/Nf58239T6m",4,2
2017-07-13 23:47:59+00:00,"Explore the world of #cryptocurrency at https://t.co/HrCT7nXnD1
#cryptocurrencies
Exchanges
Gambling sites
#ICOS
News
#bitcoin #blockchain https://t.co/cbSwoxDUzp",2,1
2017-07-13 23:41:01+00:00,What are security profs talking about? #IoT #cybersecurity #bigdata #innovation #cloud #blockchain #bitcoin #CIO #banking #CEO #leadership https://t.co/mISzSoQF8a,2,1
2017-07-13 21:26:09+00:00,SO COOL! Exchange for Currency AND Crypto-Currency 💴💱💶💰💷🤑! #bitcoin #BitcoinSignGuy #ethereum #Litecoin https://t.co/efI9WTYsXs,3,0
2017-07-13 22:43:42+00:00,TOP STRATEGIST: Bitcoin will soar to over $20000 by cannibalizing gold - https://t.co/YuTlJdpHsu,1,1
2017-07-13 23:42:04+00:00,Austria’s Energy Company Switch First To Take Bitcoin Payments https://t.co/zoViz76eXh #cryptocurrency https://t.co/IkeBS1qeXu,3,3
