Date,Unnamed: 0,compound,negative,neutral,positive,likes,retweets,Close
2017-07-13,0,0.34,0.0,0.882,0.118,76,110,2357.89990234375
2017-07-14,1,0.6249,0.0,0.785,0.215,96,22,2233.340087890625
2017-07-15,2,-0.2023,0.134,0.773,0.093,209,67,1998.8599853515625
2017-07-16,3,0.5859,0.071,0.709,0.22,127,50,1929.8199462890625
2017-07-17,4,0.0,0.0,1.0,0.0,2,1,2228.409912109375
2017-07-18,5,-0.1027,0.259,0.741,0.0,7,3,2318.8798828125
2017-07-19,6,0.1761,0.087,0.8,0.113,83,39,2273.429931640625
2017-07-20,7,-0.2263,0.213,0.787,0.0,51,22,2817.60009765625
2017-07-21,8,0.4939,0.0,0.849,0.151,7,8,2667.760009765625
2017-07-22,9,0.4404,0.0,0.861,0.139,7,1,2810.1201171875
2017-07-23,10,0.3818,0.0,0.867,0.133,49,23,2730.39990234375
2017-07-24,11,0.3612,0.0,0.872,0.128,21,22,2754.860107421875
2017-07-25,12,0.3182,0.0,0.874,0.126,9,7,2576.47998046875
2017-07-26,13,0.0,0.0,1.0,0.0,4,2,2529.449951171875
2017-07-27,14,0.0,0.0,1.0,0.0,2,1,2671.780029296875
2017-07-28,15,0.34,0.0,0.876,0.124,2,1,2809.010009765625
2017-07-29,16,0.6851,0.0,0.721,0.279,3,0,2726.449951171875
2017-07-30,17,0.368,0.0,0.813,0.187,1,1,2757.179931640625
2017-07-31,18,0.2732,0.0,0.84,0.16,3,3,2875.340087890625
